"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","GeneSymbol"
"1",1.0946426228415,5.86441961182237,6.2760870842465,1.25464385927198e-06,0.0205596149175167,5.20644794090085,"204457_s_at","GAS1"
"2",-1.0691171175849,6.56366615785804,-5.76089755106188,4.70261071369377e-06,0.020766687399229,4.05495570154883,"227321_at","CASTOR3P"
"3",-2.75556299811919,4.93694648467799,-5.52725923022691,8.62422493179481e-06,0.020766687399229,3.52279547879011,"208319_s_at","RBM3"
"4",1.07723306155095,8.5842853442161,5.466119696635,1.01137135182271e-05,0.020766687399229,3.38266370566008,"230741_at","P2RX7"
"5",-2.14003329787777,4.04426433783972,-5.32090098490321,1.47787218687687e-05,0.0221978254819683,3.04853203052452,"205357_s_at","AGTR1"
"6",1.24130816743292,6.50090454693099,5.31618876509407,1.49620268152377e-05,0.0221978254819683,3.03766130325843,"209015_s_at","DNAJB6"
"7",-2.32644329963201,5.17995467841764,-5.31463838604815,1.50228358313677e-05,0.0221978254819683,3.03408432775238,"1553328_a_at","SLC18A2"
"8",1.03382951403006,4.35099600210476,5.21137414517082,1.96874949448215e-05,0.0234961657047543,2.79544067456034,"223588_at","THAP2"
"10",-1.97205951741441,5.08525531658112,-5.11273113421171,2.55010976799487e-05,0.0268129329932922,2.56680739132484,"209560_s_at","DLK1"
"11",-2.95054095679832,7.28309717748572,-5.05635065905243,2.95700911131491e-05,0.0278430223260713,2.43587070520664,"205857_at","SLC18A2"
"12",-1.48774835478184,5.10709620112115,-4.97833090909971,3.62986285369124e-05,0.0278430223260713,2.25440866023805,"217574_at","CDH8"
"13",-1.40563179381344,4.92253877916339,-4.96238527073245,3.7852613528539e-05,0.0278430223260713,2.21728664662793,"240801_at","LINC01549"
"15",1.07422807310791,6.93186346689118,4.75555942601918,6.52223086721755e-05,0.0336417898740679,1.73496318591974,"226317_at","PPP4R2"
"16",-2.4988837274053,4.65941959019156,-4.72199385833507,7.12457318798739e-05,0.0345974011137748,1.65658159795884,"1556095_at","UNC13C"
"17",-2.89602074650304,5.97713838863343,-4.65448112836101,8.50974768256005e-05,0.0369262265511088,1.49887918640983,"208291_s_at","TH"
"18",-2.47229533891069,7.30724844090688,-4.64497533341923,8.7252825496695e-05,0.0372699080783734,1.47667118118844,"206836_at","SLC6A3"
"19",-1.47060187097984,5.1337394287136,-4.61347056423694,9.47935822201483e-05,0.0392639326355046,1.40306462656898,"227243_s_at","EBF3"
"20",-1.94060735873214,8.53530905270516,-4.50031862368276,0.000127648977091406,0.0456157374017818,1.13871436093843,"212224_at","ALDH1A1"
"21",-1.8678137489476,6.22210495064982,-4.48614432213922,0.000132494602073975,0.0461410341935962,1.10560762588029,"242530_at","SV2C"
"22",1.01830930338313,5.88513341087171,4.43549635424039,0.000151354551378789,0.048880550280074,0.987337427834296,"215233_at","JMJD6"
